#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 366.000000 1.187735 0.825868 1.476603
 367.000000 1.169522 0.787395 1.426789
 368.000000 1.123565 0.816893 1.493030
 369.000000 1.188521 0.804948 1.431451
 370.000000 1.215741 0.806906 1.427553
 371.000000 1.093359 0.810264 1.390297
 372.000000 1.079295 0.761411 1.428481
 373.000000 1.099539 0.711430 1.404093
 374.000000 1.113634 0.747700 1.365836
 375.000000 1.084787 0.744009 1.385513
 376.000000 1.152146 0.742596 1.375194
 377.000000 1.166600 0.772673 1.358055
 378.000000 1.171965 0.714076 1.411336
 379.000000 1.124893 0.734469 1.409101
 380.000000 1.083792 0.711312 1.380241
 381.000000 1.102926 0.742685 1.398683
 382.000000 1.080823 0.689831 1.369043
 383.000000 1.095749 0.705178 1.419049
 384.000000 1.156517 0.696715 1.442082
 385.000000 1.133384 0.687887 1.498339
 386.000000 1.056987 0.734250 1.433587
 387.000000 1.094658 0.788684 1.457081
 388.000000 1.148576 0.744469 1.469988
 389.000000 1.179112 0.825087 1.437551
 390.000000 1.116612 0.808349 1.418832
 391.000000 1.103660 0.850101 1.441356
 392.000000 1.115839 0.850989 1.471931
 393.000000 1.172621 0.883474 1.389051
 394.000000 1.142417 0.858472 1.325796
 395.000000 1.157992 0.871218 1.369504
 396.000000 1.183374 0.860303 1.364580
 397.000000 1.236117 0.869071 1.367181
 398.000000 1.178362 0.806687 1.379199
 399.000000 1.163400 0.869239 1.423291
 400.000000 1.181494 0.826303 1.392030
 401.000000 1.154988 0.866917 1.389419
 402.000000 1.154488 0.892418 1.390051
 403.000000 1.117694 0.876532 1.430265
 404.000000 1.131391 0.844957 1.433283
 405.000000 1.173955 0.847446 1.409142
 406.000000 1.237734 0.789947 1.460482
 407.000000 1.212018 0.874734 1.387762
 408.000000 1.164898 0.883210 1.422131
 409.000000 1.147580 0.858208 1.396881
 410.000000 1.143171 0.861803 1.488449
 411.000000 1.128106 0.843452 1.510275
 412.000000 1.125318 0.870549 1.471826
 413.000000 1.174368 0.885558 1.465363
 414.000000 1.201923 0.878145 1.537325
 415.000000 1.126338 0.857129 1.497903
 416.000000 1.192446 0.861477 1.421831
 417.000000 1.083411 0.914797 1.480099
 418.000000 1.102218 0.916654 1.418711
 419.000000 1.145373 0.834620 1.446971
 420.000000 1.190546 0.796372 1.550955
 421.000000 1.161056 0.821077 1.505133
 422.000000 1.117246 0.902865 1.532763
 423.000000 1.064107 0.870564 1.483575
 424.000000 1.070324 0.869196 1.529705
 425.000000 1.141566 0.806045 1.489249
 426.000000 1.110139 0.774207 1.535485
 427.000000 1.119587 0.762368 1.532992
 428.000000 1.080551 0.851306 1.474102
 429.000000 1.177471 0.818418 1.501673
 430.000000 1.095231 0.867362 1.504006
 431.000000 1.106176 0.796336 1.508959
 432.000000 1.209931 0.819053 1.448884
 433.000000 1.173648 0.845564 1.494007
 434.000000 1.195669 0.828062 1.488151
 435.000000 1.139772 0.810226 1.435773
 436.000000 1.205871 0.851674 1.427296
 437.000000 1.191518 0.816679 1.392653
 438.000000 1.163793 0.776307 1.418807
 439.000000 1.171281 0.759185 1.455734
 440.000000 1.176215 0.748212 1.428108
 441.000000 1.162675 0.775713 1.517783
 442.000000 1.098821 0.826312 1.502243
 443.000000 1.158125 0.815034 1.556620
 444.000000 1.182597 0.761360 1.504824
 445.000000 1.187015 0.807867 1.466029
 446.000000 1.216375 0.816611 1.439413
 447.000000 1.218815 0.825989 1.436085
 448.000000 1.236128 0.862670 1.450327
 449.000000 1.220880 0.792074 1.548943
 450.000000 1.207892 0.855456 1.491595
 451.000000 1.191360 0.823139 1.484356
 452.000000 1.148817 0.826500 1.560403
 453.000000 1.215508 0.804594 1.485225
 454.000000 1.270498 0.838714 1.598455
 455.000000 1.300603 0.856049 1.572816
 456.000000 1.321608 0.828633 1.614972
 457.000000 1.252913 0.857710 1.540111
 458.000000 1.271635 0.855221 1.553348
 459.000000 1.410725 0.846450 1.614491
 460.000000 1.368816 0.804888 1.549531
 461.000000 1.346226 0.838896 1.573812
 462.000000 1.326399 0.791662 1.546523
 463.000000 1.411796 0.799388 1.605444
 464.000000 1.314054 0.813210 1.591747
 465.000000 1.311826 0.764122 1.668058
 466.000000 1.332168 0.770008 1.700983
 467.000000 1.354172 0.790950 1.722631
 468.000000 1.365152 0.753583 1.797048
 469.000000 1.387387 0.707887 1.736470
 470.000000 1.363080 0.668105 1.669335
 471.000000 1.372469 0.638630 1.648679
 472.000000 1.336940 0.687480 1.635647
 473.000000 1.322984 0.694999 1.639963
 474.000000 1.359606 0.650918 1.623083
 475.000000 1.301656 0.711854 1.666030
 476.000000 1.373119 0.755450 1.671799
 477.000000 1.362145 0.776092 1.747702
 478.000000 1.313022 0.701934 1.726829
 479.000000 1.322422 0.718973 1.728027
 480.000000 1.356556 0.794074 1.712690
 481.000000 1.272969 0.793498 1.636217
 482.000000 1.311994 0.714613 1.659045
 483.000000 1.266555 0.742872 1.637277
 484.000000 1.202857 0.778690 1.699359
 485.000000 1.283357 0.803509 1.660860
 486.000000 1.261716 0.746119 1.725599
 487.000000 1.282709 0.780072 1.715501
 488.000000 1.258159 0.827884 1.793604
 489.000000 1.348276 0.705150 1.707517
 490.000000 1.284617 0.745497 1.675251
 491.000000 1.338603 0.737316 1.690243
 492.000000 1.351714 0.730213 1.666679
 493.000000 1.338086 0.732003 1.649996
 494.000000 1.268616 0.743206 1.755043
 495.000000 1.216594 0.750616 1.690246
 496.000000 1.199327 0.739064 1.593302
 497.000000 1.304826 0.720041 1.717334
 498.000000 1.330355 0.745573 1.693949
 499.000000 1.273386 0.721271 1.739901
 500.000000 1.299207 0.721401 1.763538
 501.000000 1.304818 0.738959 1.723280
 502.000000 1.191774 0.765139 1.757425
 503.000000 1.129205 0.865323 1.744616
 504.000000 1.104247 0.834534 1.726674
 505.000000 1.185007 0.820743 1.687908
 506.000000 1.146268 0.821098 1.611526
 507.000000 1.189091 0.848106 1.606668
 508.000000 1.174325 0.872535 1.622896
 509.000000 1.250117 0.852853 1.534202
 510.000000 1.210600 0.865565 1.592157
 511.000000 1.134093 0.916302 1.625423
 512.000000 1.099378 0.861801 1.519749
 513.000000 1.137932 0.910359 1.670591
 514.000000 1.139024 0.909106 1.657834
 515.000000 1.246230 0.953779 1.673260
 516.000000 1.216120 1.009977 1.710121
 517.000000 1.262951 0.904422 1.712535
 518.000000 1.303117 0.931701 1.730100
 519.000000 1.330414 0.908857 1.771513
 520.000000 1.240433 0.995254 1.820615
 521.000000 1.279404 1.040464 1.791876
 522.000000 1.239811 0.975380 1.931929
 523.000000 1.206745 1.038799 1.925697
 524.000000 1.150246 1.048006 1.851906
 525.000000 1.159821 0.928052 1.880754
 526.000000 1.136375 0.885309 1.873602
 527.000000 1.087038 0.908696 1.911639
 528.000000 1.087080 0.868186 1.849831
 529.000000 1.193407 0.835936 1.851553
 530.000000 1.134407 0.803742 1.906168
 531.000000 1.186710 0.845008 1.944659
 532.000000 1.136692 0.767545 1.905554
 533.000000 1.186366 0.784040 1.947465
 534.000000 1.160498 0.800975 1.909840
 535.000000 1.183593 0.820320 2.038034
 536.000000 1.128119 0.841201 2.030945
 537.000000 1.169183 0.861130 2.041447
 538.000000 1.145873 0.898269 2.052040
 539.000000 1.212006 0.870400 1.972119
 540.000000 1.202893 0.842967 2.058076
 541.000000 1.186548 0.860982 1.922912
 542.000000 1.203587 0.861388 1.967207
 543.000000 1.245213 0.908010 1.941359
 544.000000 1.275623 0.968615 1.867257
 545.000000 1.246262 0.947506 1.853732
 546.000000 1.173979 0.969703 1.869237
 547.000000 1.143807 0.988150 1.885231
 548.000000 1.136707 0.982564 1.831527
 549.000000 1.145047 1.129167 1.835705
 550.000000 1.160413 1.113470 1.827443
 551.000000 1.191696 1.060277 1.760469
 552.000000 1.218203 1.114337 1.790313
 553.000000 1.220360 1.117108 1.804186
 554.000000 1.259119 1.065427 1.850706
 555.000000 1.222137 1.128816 1.835096
 556.000000 1.241020 1.144635 1.793549
 557.000000 1.179582 1.116066 1.852215
 558.000000 1.173806 1.136529 1.732870
 559.000000 1.170640 1.097503 1.814025
 560.000000 1.146419 1.111320 1.896260
 561.000000 1.129590 1.152427 1.763854
 562.000000 1.142216 1.097701 1.781056
 563.000000 1.209795 1.072805 1.799014
 564.000000 1.220209 1.048470 1.757538
 565.000000 1.195510 1.101791 1.769395
 566.000000 1.194478 1.102970 1.853672
 567.000000 1.188909 1.057000 1.775526
 568.000000 1.200852 1.060073 1.729292
 569.000000 1.200084 1.062380 1.705319
 570.000000 1.242775 1.050498 1.699170
 571.000000 1.181960 1.128557 1.726079
 572.000000 1.210162 1.173422 1.757918
 573.000000 1.182745 1.183996 1.770714
 574.000000 1.155147 1.100947 1.724275
 575.000000 1.196527 1.069637 1.741912
 576.000000 1.164563 1.052178 1.726329
 577.000000 1.244875 1.053672 1.747677
 578.000000 1.193813 0.984817 1.755369
 579.000000 1.235568 0.993186 1.782124
 580.000000 1.211401 0.918990 1.791950
 581.000000 1.191117 0.967029 1.820117
 582.000000 1.166647 1.023910 1.803753
 583.000000 1.142190 1.073911 1.817045
 584.000000 1.086047 1.058415 1.765351
 585.000000 1.110903 1.103686 1.787364
 586.000000 1.236533 1.155933 1.784563
 587.000000 1.202933 1.124155 1.719890
 588.000000 1.149564 1.103063 1.678657
 589.000000 1.196546 1.117972 1.761484
 590.000000 1.201799 1.096920 1.729349
 591.000000 1.237724 1.207975 1.815349
 592.000000 1.163894 1.150124 1.785397
 593.000000 1.157060 1.113005 1.711324
 594.000000 1.164610 1.146971 1.723752
 595.000000 1.137412 1.236873 1.735197
 596.000000 1.042548 1.192383 1.766104
 597.000000 1.041633 1.119890 1.752068
 598.000000 1.138975 1.034120 1.708897
 599.000000 1.127329 1.130823 1.704577
 600.000000 1.175692 1.131731 1.733930
 601.000000 1.115283 1.141885 1.772231
 602.000000 1.132691 1.104888 1.706270
 603.000000 1.173826 1.109207 1.747574
 604.000000 1.288034 1.080032 1.718295
 605.000000 1.361720 1.085550 1.740077
 606.000000 1.299612 1.086424 1.739330
 607.000000 1.252353 1.079071 1.710706
 608.000000 1.367417 1.110713 1.769485
 609.000000 1.304475 1.083642 1.842079
 610.000000 1.196466 1.072713 1.801016
 611.000000 1.311633 1.082867 1.861259
 612.000000 1.317316 1.130914 1.803525
 613.000000 1.256254 1.201644 1.793445
 614.000000 1.227083 1.256635 1.774242
 615.000000 1.181810 1.289065 1.813244
 616.000000 1.279827 1.304496 1.758685
 617.000000 1.264409 1.278349 1.877738
 618.000000 1.216709 1.271485 1.878475
 619.000000 1.281639 1.251052 1.888553
 620.000000 1.180803 1.275478 1.883637
 621.000000 1.192515 1.254361 1.854803
 622.000000 1.228805 1.179691 1.915744
 623.000000 1.178750 1.185744 1.906751
 624.000000 1.152319 1.207410 2.007952
 625.000000 1.155428 1.169386 1.922293
 626.000000 1.192379 1.150970 1.913850
 627.000000 1.214632 1.187488 1.928863
 628.000000 1.190494 1.227600 2.024286
 629.000000 1.094580 1.198476 1.976566
 630.000000 1.104347 1.249283 1.994629
 631.000000 1.002136 1.300910 2.017970
 632.000000 1.102261 1.246724 1.974778
 633.000000 1.134084 1.264581 1.942670
 634.000000 1.156323 1.260896 1.939953
 635.000000 1.242624 1.276244 1.990478
 636.000000 1.098585 1.263911 1.909880
 637.000000 1.068044 1.275387 1.967434
 638.000000 1.013770 1.308376 1.970294
 639.000000 0.996430 1.254953 2.009755
 640.000000 0.960380 1.271807 2.006152
 641.000000 1.018763 1.321786 1.951879
 642.000000 0.936238 1.223853 1.943830
 643.000000 0.932657 1.310947 1.869154
 644.000000 1.016601 1.286006 1.970163
 645.000000 0.940842 1.304873 1.935213
 646.000000 0.973783 1.354417 1.937315
 647.000000 0.950686 1.294399 1.958782
 648.000000 0.965022 1.186145 1.911813
 649.000000 1.006939 1.226605 1.879526
 650.000000 0.985872 1.215818 1.907355
 651.000000 0.982161 1.183230 1.923089
