#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 390.000000 0.162248 1.343799 -1.893495
 391.000000 0.159291 1.432327 -2.062611
 392.000000 0.142329 1.592844 -2.205897
 393.000000 0.117572 1.590522 -2.034044
 394.000000 0.110530 1.576247 -2.032884
 395.000000 0.138779 1.500604 -1.974468
 396.000000 0.164636 1.637598 -1.998546
 397.000000 0.135201 1.723346 -2.021381
 398.000000 0.116784 1.629257 -2.286858
 399.000000 0.139479 1.746398 -2.269616
 400.000000 0.113648 1.747659 -2.045105
 401.000000 0.152585 1.745669 -2.216512
 402.000000 0.109981 1.796824 -2.295470
 403.000000 0.141740 1.455426 -2.043345
 404.000000 0.139271 1.580421 -2.104941
 405.000000 0.124718 1.510893 -2.111845
 406.000000 0.134982 1.654817 -2.069967
 407.000000 0.124427 1.726604 -2.262855
 408.000000 0.126493 1.601130 -2.446815
 409.000000 0.128030 1.444888 -2.117828
 410.000000 0.116284 1.611432 -2.425170
 411.000000 0.138175 1.566926 -2.217445
 412.000000 0.155232 1.568535 -2.286590
 413.000000 0.144368 1.564046 -2.196119
 414.000000 0.128070 1.556712 -2.070694
 415.000000 0.121044 1.637509 -2.162808
 416.000000 0.116480 1.665222 -2.431368
 417.000000 0.138622 1.552708 -2.400797
 418.000000 0.140859 1.685580 -2.227293
 419.000000 0.136464 1.487249 -2.333707
 420.000000 0.112130 1.635264 -2.517787
 421.000000 0.156583 1.581169 -2.516387
 422.000000 0.129973 1.651572 -2.260830
 423.000000 0.130822 1.615182 -2.269028
 424.000000 0.106278 1.651947 -2.420739
 425.000000 0.134664 1.688845 -2.243516
 426.000000 0.135793 1.612262 -2.420693
 427.000000 0.141194 1.553129 -2.183991
 428.000000 0.146783 1.529729 -2.351017
 429.000000 0.130400 1.707855 -2.468594
 430.000000 0.145863 1.714620 -2.545533
 431.000000 0.115052 1.675561 -2.311937
 432.000000 0.143744 1.584040 -2.383318
 433.000000 0.196335 1.828775 -2.285391
 434.000000 0.179706 1.862781 -2.332143
 435.000000 0.168436 1.854925 -2.485343
 436.000000 0.181801 1.805650 -2.353861
 437.000000 0.185933 1.847779 -2.326403
 438.000000 0.182074 1.763584 -2.511431
 439.000000 0.178005 1.894544 -2.449963
 440.000000 0.208752 1.771850 -2.448278
 441.000000 0.171488 1.629343 -2.013347
 442.000000 0.166114 1.633504 -2.235018
 443.000000 0.100795 1.343287 -2.552131
 444.000000 0.128900 1.674754 -2.668010
 445.000000 0.118075 1.679211 -2.467639
 446.000000 0.129965 1.785076 -2.546700
 447.000000 0.157597 1.696599 -2.414161
 448.000000 0.149323 1.682233 -2.592709
 449.000000 0.136737 1.742120 -2.387820
 450.000000 0.161348 1.654570 -2.494535
 451.000000 0.162638 1.592047 -2.449983
 452.000000 0.164900 1.664888 -2.302588
 453.000000 0.163158 1.603063 -2.329079
 454.000000 0.184827 1.747589 -2.422220
 455.000000 0.196133 1.705273 -2.360736
 456.000000 0.146483 1.624383 -2.290449
 457.000000 0.191620 1.630080 -2.290780
 458.000000 0.178704 1.554152 -2.293528
