#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 373.000000 0.034839 0.665588 1.005941
 374.000000 0.042643 0.078050 0.695914
 375.000000 0.042124 0.254306 0.308428
 376.000000 0.037451 0.412091 -0.902019
 377.000000 0.040990 0.239037 0.304591
 378.000000 0.036369 0.406356 0.320642
 379.000000 0.048544 0.442740 -2.739227
 380.000000 0.050729 0.652701 -2.817403
 381.000000 0.040297 0.757493 2.155605
 382.000000 0.040509 0.162554 3.108071
 383.000000 0.053247 0.207734 3.121352
 384.000000 0.054396 0.338449 -2.807959
 385.000000 0.043750 0.026996 1.139501
 386.000000 0.050597 0.288175 -2.106649
 387.000000 0.045196 0.892166 -2.572621
 388.000000 0.074361 0.779937 -2.948621
 389.000000 0.072246 0.430755 -3.059247
 390.000000 0.052979 0.866864 -3.128318
 391.000000 0.048932 0.340406 -1.168131
 392.000000 0.076322 0.367819 2.015246
 393.000000 0.067055 0.134866 2.299749
 394.000000 0.056635 0.192539 -1.409827
 395.000000 0.061406 0.510761 2.846837
 396.000000 0.037825 0.295541 -1.709461
 397.000000 0.064396 0.601531 3.025033
 398.000000 0.052062 0.663497 -2.541409
 399.000000 0.052471 0.188326 0.893565
 400.000000 0.044845 0.758117 2.660347
 401.000000 0.044370 0.806108 1.846071
 402.000000 0.054756 0.442693 -2.888402
 403.000000 0.046066 0.986204 2.500141
 404.000000 0.027149 0.828814 -1.322299
 405.000000 0.051224 0.360128 2.918458
 406.000000 0.029529 0.032200 1.042396
 407.000000 0.038378 0.267944 -2.628902
 408.000000 0.052528 0.593011 -3.097299
 409.000000 0.044705 0.067714 -2.123875
 410.000000 0.059421 0.492893 -2.397449
 411.000000 0.049112 0.140898 1.670006
 412.000000 0.066670 0.667006 -3.076679
 413.000000 0.043242 0.060175 -0.366317
 414.000000 0.050030 0.794759 2.338307
 415.000000 0.060568 0.924459 3.103441
 416.000000 0.052181 0.191937 2.955027
 417.000000 0.052347 0.808880 2.948092
 418.000000 0.043658 0.292707 3.019256
 419.000000 0.044684 0.555462 2.101940
 420.000000 0.045035 0.606828 1.430256
 421.000000 0.052417 0.295572 -3.006912
 422.000000 0.067710 0.617405 2.552254
 423.000000 0.058094 0.556795 2.672456
 424.000000 0.055077 0.643243 2.209380
 425.000000 0.032280 0.252940 1.841375
 426.000000 0.045253 0.677275 1.841537
 427.000000 0.044020 0.101292 0.508056
 428.000000 0.029548 0.263234 1.737813
 429.000000 0.048614 0.967530 2.434065
 430.000000 0.059995 0.870372 2.334954
 431.000000 0.057687 1.050715 2.731546
 432.000000 0.043628 0.776410 1.943508
 433.000000 0.046796 0.924434 3.058683
 434.000000 0.037609 1.249500 2.834546
 435.000000 0.039094 1.285348 -2.438892
 436.000000 0.036140 1.381454 -3.114288
 437.000000 0.033324 0.807719 2.949900
 438.000000 0.058607 0.675051 3.130775
 439.000000 0.058764 0.741560 2.729750
 440.000000 0.065443 0.550029 -3.130261
 441.000000 0.070419 0.798064 -3.090772
 442.000000 0.020417 1.484278 2.456529
 443.000000 0.042258 1.059598 2.760515
 444.000000 0.048407 1.090065 2.719655
 445.000000 0.051154 0.956706 2.010337
 446.000000 0.035915 0.838082 2.129996
 447.000000 0.031784 0.193453 0.429714
 448.000000 0.037481 0.572222 -1.259482
 449.000000 0.035453 0.648821 -0.472539
 450.000000 0.035192 0.471358 -0.130852
 451.000000 0.034147 0.638321 -0.388971
 452.000000 0.036116 0.355931 -0.299314
 453.000000 0.028293 0.468876 -1.067836
 454.000000 0.030399 0.569293 -0.131301
 455.000000 0.032117 0.770657 -0.513735
 456.000000 0.028815 0.725544 -1.285002
 457.000000 0.039783 0.160552 -2.251343
 458.000000 0.044510 0.153877 -0.928692
 459.000000 0.057624 0.386117 0.823467
 460.000000 0.040820 0.751794 -1.874016
 461.000000 0.047183 0.603418 -0.786026
 462.000000 0.049995 0.738373 -1.993978
 463.000000 0.050211 0.574069 -2.610945
 464.000000 0.066047 0.909756 -0.226799
 465.000000 0.042554 0.592901 -0.394806
 466.000000 0.029138 0.603954 -1.064601
 467.000000 0.034527 0.197496 -1.358781
 468.000000 0.039579 0.358799 -1.691591
 469.000000 0.039383 0.291040 0.141775
 470.000000 0.048288 0.141135 -0.939631
 471.000000 0.040379 0.815870 -2.524423
 472.000000 0.037663 0.074949 -2.879580
 473.000000 0.059095 0.703312 -2.760023
 474.000000 0.046907 0.644007 -2.729735
 475.000000 0.062324 0.462180 -2.945753
 476.000000 0.041539 0.457681 -2.160035
 477.000000 0.039757 0.643744 -2.512964
 478.000000 0.056525 0.777560 -2.783894
 479.000000 0.031074 0.072288 -2.418412
 480.000000 0.039562 0.797389 -2.245341
 481.000000 0.038741 0.621005 -2.886162
 482.000000 0.040972 0.610199 -2.511442
 483.000000 0.057296 0.760195 -2.285281
 484.000000 0.038613 0.622014 -1.869972
 485.000000 0.049351 0.748538 -2.334787
 486.000000 0.046194 0.349992 -2.168680
 487.000000 0.045296 0.158776 2.987460
 488.000000 0.043012 0.578980 -0.897595
 489.000000 0.039682 0.540396 -1.573538
 490.000000 0.045143 0.389709 -1.681214
 491.000000 0.046897 0.533361 -2.030934
 492.000000 0.043648 0.757095 -2.197682
 493.000000 0.053517 0.565713 -2.972355
 494.000000 0.031734 0.076129 -1.530162
 495.000000 0.047209 0.775688 -2.412682
 496.000000 0.035453 0.656512 -1.431505
 497.000000 0.046263 0.072080 3.038711
 498.000000 0.050856 0.615851 -2.901435
 499.000000 0.031541 0.080076 1.770550
 500.000000 0.050562 0.078196 -2.474487
 501.000000 0.035301 0.938813 -1.010745
 502.000000 0.053534 0.555578 -2.140531
 503.000000 0.047959 0.186182 -2.847132
 504.000000 0.034573 0.428255 2.505906
 505.000000 0.043965 0.275259 -0.381213
 506.000000 0.057693 0.170053 0.709889
 507.000000 0.044999 0.600866 0.422795
 508.000000 0.057004 0.279463 1.379375
 509.000000 0.029303 0.137185 -1.669901
 510.000000 0.023692 0.788496 -1.718231
 511.000000 0.027112 0.564123 -0.112800
 512.000000 0.027234 0.644995 0.271020
 513.000000 0.039894 0.698491 -0.353253
 514.000000 0.037557 0.121162 -1.522656
 515.000000 0.034404 0.207686 -1.367642
 516.000000 0.052877 0.096373 -0.743813
 517.000000 0.053473 0.149074 1.466015
 518.000000 0.053942 0.396461 0.573128
 519.000000 0.052563 0.299605 1.326748
 520.000000 0.059864 0.111000 -0.206604
 521.000000 0.066864 0.148077 1.042747
 522.000000 0.060806 0.336348 0.142247
 523.000000 0.058507 0.118623 -0.273536
 524.000000 0.057098 0.444625 -0.044707
 525.000000 0.041469 0.131074 2.824715
 526.000000 0.063999 0.201079 1.121327
 527.000000 0.061694 0.256507 1.366454
 528.000000 0.068954 0.055927 1.084527
 529.000000 0.051968 0.561334 0.403438
 530.000000 0.059162 0.074593 -2.558067
 531.000000 0.058524 0.169793 1.297875
 532.000000 0.059477 0.092600 0.065408
 533.000000 0.046339 0.223511 -2.610938
 534.000000 0.044537 0.045209 -0.550227
 535.000000 0.047760 0.448429 2.692847
 536.000000 0.056691 0.233706 -2.576543
 537.000000 0.065450 0.064252 0.043011
 538.000000 0.066287 0.404075 0.777328
 539.000000 0.058212 0.453315 0.316928
 540.000000 0.059789 0.581295 1.230044
 541.000000 0.065838 0.573180 0.196175
 542.000000 0.059379 0.480795 0.868978
 543.000000 0.043019 0.053566 -1.291475
 544.000000 0.071564 0.357524 0.355422
 545.000000 0.049528 0.048259 1.755830
 546.000000 0.043458 0.118859 -0.135969
 547.000000 0.038214 0.117638 -1.215583
 548.000000 0.045963 0.498516 -1.571480
 549.000000 0.046465 0.618134 2.986459
 550.000000 0.034337 0.374280 1.482082
 551.000000 0.044409 0.371930 2.886275
 552.000000 0.054422 0.053772 -2.090232
 553.000000 0.062159 0.551200 -2.614429
 554.000000 0.043411 0.176787 0.643130
 555.000000 0.033311 0.361448 1.934445
 556.000000 0.051175 0.530587 2.778548
 557.000000 0.057710 0.227503 2.826747
 558.000000 0.040968 0.048325 -0.178922
 559.000000 0.053308 0.136119 -2.485137
 560.000000 0.029777 0.246540 -1.870617
 561.000000 0.036154 0.046405 2.009202
 562.000000 0.028213 0.520115 -0.895530
 563.000000 0.033759 0.335599 -3.096295
 564.000000 0.039440 0.495476 0.620463
 565.000000 0.036424 0.651242 1.071398
 566.000000 0.041311 0.118593 -0.127137
 567.000000 0.037421 0.063904 0.839111
 568.000000 0.048360 0.325126 2.540107
 569.000000 0.047618 0.167131 2.772022
